lat,lon,state,county,site_name
36.634225,-120.382331,California,Fresno,Tranquillity
36.694261,-121.623271,California,Monterey,Salinas 3
36.697186,-97.08135,Oklahoma,Kay,Ponca City
36.710833,-119.7775,California,Fresno,Fresno-Foundry
36.72639,-119.733,California,Fresno,Fresno-Pacific
36.78538,-119.77321,California,Fresno,Fresno - Garland
36.815897,-114.050347,Nevada,Clark,Virgin Valley High School
36.819449,-119.716433,California,Fresno,Clovis-Villa
36.841883,-76.181233,Virginia,Virginia Beach City,DEQ Tidewater Regional Office
36.843425,-121.3621,California,San Benito,Hollister
36.85555,-76.30135,Virginia,Norfolk City,NOAA
36.91171,-87.323337,Kentucky,Christian,HOPKINSVILLE
36.91841,-95.632286,Oklahoma,Nowata,Oklahoma Union (Nowata County)
36.922222,-94.838889,Oklahoma,Ottawa,QUAPAW SHELTER
36.953256,-120.034203,California,Madera,Madera-City
36.98332,-121.98822,California,Santa Cruz,Santa Cruz
36.985119,-119.658339,California,Fresno,Table Mountain Air Monitoring Site
36.985702,-94.83931,Oklahoma,Ottawa,
36.999571,-121.574684,California,Santa Clara,Gilroy
37.04926,-86.21487,Kentucky,Warren,ED SPEAR PARK (SMITHS GROVE)
37.06315,-122.083092,California,Santa Cruz,San Lorenzo Valley Middle School
37.08727,-88.60801,Kentucky,McCracken,Paducah Transit
37.09798,-84.61152,Kentucky,Pulaski,SOMERSET
37.103733,-76.387017,Virginia,Hampton City,NASA Langley Research Center
37.155494,-118.293547,California,Inyo,Stn.1 Big Pine Paiute site
37.179125,-113.305096,Utah,Washington,Hurricane
37.256137,-93.299894,Missouri,Greene,Hillcrest High School
37.281853,-120.433671,California,Merced,Merced-Coffee
37.28329,-83.20932,Kentucky,Perry,HAZARD
37.28342,-79.88452,Virginia,Roanoke,East Vinton Elementary School
37.297883,-80.081017,Virginia,Salem City,Salem High School
37.30832,-120.480456,California,Merced,Merced-M St
37.332706,-79.215011,Virginia,Lynchburg City,LYNCHBURG CITY WATER TOWER
37.338135,-121.849783,California,Santa Clara,San Jose - Knox Avenue
37.34438,-77.25925,Virginia,Charles,Shirley Plantation
37.348497,-121.894898,California,Santa Clara,San Jose - Jackson
37.35748,-77.59355,Virginia,Chesterfield,VDOT Chesterfield Residency Shop
37.360684,-118.330783,California,Inyo,WMRC/NCORE
37.362137,-118.417478,California,Inyo,Bishop Tribe EMO
37.47689,-97.366399,Kansas,Sumner,PECK
37.4826,-82.53532,Kentucky,Pike,PIKEVILLE PRIMARY
37.488317,-120.836008,California,Stanislaus,Turlock
37.55652,-77.40027,Virginia,Henrico,MathScience Innovation Center
37.59088,-77.46925,Virginia,Richmond City,Bryan Park
37.642165,-120.994212,California,Stanislaus,Modesto-14th Street
37.64571,-118.96652,California,Mono,Mammoth Lakes
37.67132,-77.5664,Virginia,Henrico,DEQ Piedmont Regional Office
37.67696,-95.47594,Kansas,Neosho,CHANUTE
37.687526,-121.784217,California,Alameda,Livermore
37.68975,-121.77155,California,Alameda,Livermore Portola
37.70097,-94.03474,Missouri,Cedar,El Dorado Springs
37.701222,-121.903019,California,Alameda,Pleasanton - Owens Ct
37.702066,-97.314847,Kansas,Sedgwick,WICHITA HD
37.705612,-85.852629,Kentucky,Hardin,ELIZABETHTOWN
37.743065,-122.169935,California,Alameda,Oakland
37.74743,-113.055525,Utah,Iron,Enoch
